video_id,channel_title,video_title,upload_date,view_count,like_count,dislike_count,comment_count
76K8D_cwcvU,小高姐的 Magic Ingredients,素五鲜水饺,2023-01-21,80071,4444,,399
FWG_1oZTcS0,小高姐的 Magic Ingredients,蒜蓉虾仁 Garlic Shrimp,2023-01-13,129069,5227,,369
JpIymnVO5eY,小高姐的 Magic Ingredients,搓麻食,2022-12-21,107346,4907,,485
1q_I5IHdrdE,小高姐的 Magic Ingredients,灌蛋油条 油条简单做法,2022-11-03,170599,6627,,362
8P5TlolEPL0,小高姐的 Magic Ingredients,麻酱烧饼,2022-10-20,169710,7426,,383
C_ieBg4xZOk,小高姐的 Magic Ingredients,全麦吐司 (50% 全麦）,2022-10-11,100524,4187,,279
v77h09t7X-0,小高姐的 Magic Ingredients,卤汁凉粉,2022-09-24,168257,7449,,642
m9d-1QqbCOU,小高姐的 Magic Ingredients,小炒茄子,2022-06-14,443197,14786,,724
XTH2UckRDTQ,小高姐的 Magic Ingredients,蜜豆尖角粽,2022-06-02,188562,6723,,436
rfPpPtUiBqQ,小高姐的 Magic Ingredients,家常葱油饼,2022-05-30,409737,14085,,594
hioOf9GjZWg,小高姐的 Magic Ingredients,那不勒斯披萨  How to Make Neapolitan Pizza at Home,2022-05-18,220970,7893,,531
8r2DWmbe358,小高姐的 Magic Ingredients,薄如纸 细如丝 手工长寿面,2022-05-01,303660,11442,,758
rxIS1rJ6M08,小高姐的 Magic Ingredients,汤种面包,2022-04-15,366224,11661,,724
27gs2JPmNiQ,小高姐的 Magic Ingredients,春卷皮 润饼皮,2022-03-30,362209,12130,,643
sSWA3mTgTq0,小高姐的 Magic Ingredients,炸鸡汉堡 Spicy Chicken Sandwich,2022-03-10,228625,7187,,358
fswcwX93uG8,小高姐的 Magic Ingredients,超脆薯条 Super Crispy Fries,2022-03-10,195534,6240,,367
AxUfEKI1ww8,小高姐的 Magic Ingredients,汉堡面包 Brioche Burger Buns,2022-02-28,222515,7502,,402
hdRAjpu7RkY,小高姐的 Magic Ingredients,花生汤圆 Sweet Rice Balls,2022-02-13,617129,20493,,895
lRhN263_W_Y,小高姐的 Magic Ingredients,百财饺子 Fortune Dumplings,2022-01-30,562532,19097,,845
ml3R3GqnmUQ,小高姐的 Magic Ingredients,馒头为什么塌陷,2022-01-07,1358439,34280,,2047
4de35XN-XdU,小高姐的 Magic Ingredients,鸡蛋灌饼 2.0 Egg Stuffed Paratha,2021-12-23,338170,10019,,449
KAKIYOsSSxk,小高姐的 Magic Ingredients,凤梨酥,2021-12-01,638948,17226,,1222
zq2RWPwbcaQ,小高姐的 Magic Ingredients,细薯条 Shoestring Fries,2021-11-17,184627,5725,,336
s11_UuiS0FI,小高姐的 Magic Ingredients,刀削面 Sliced Noodles,2021-11-04,346337,10264,,685
-83188U6O8w,小高姐的 Magic Ingredients,葡式蛋挞 Portuguese Egg Tarts,2021-10-23,875088,19830,,874
55X8M68rCiQ,小高姐的 Magic Ingredients,葱油酥饼 Scallion Pancakes,2021-10-06,1614606,35456,,1180
1kejwmJ84Bk,小高姐的 Magic Ingredients,奶香月饼 Mooncakes,2021-09-19,676433,15717,,783
2EzQiuPmbGg,小高姐的 Magic Ingredients,豌豆凉粉,2021-09-11,283148,8103,,596
sjEP07HHKC8,小高姐的 Magic Ingredients,蒜香虾仁凉面 Shrimp Noodles (cold),2021-08-28,451303,15019,,617
uelEUHAswIw,小高姐的 Magic Ingredients,红焖羊肉 Braised Lamb,2021-08-15,416116,9304,,560
_edTKRGk38Y,小高姐的 Magic Ingredients,薄饼快速制作 Quick Flatbread,2021-08-03,1162339,31221,,1326
gwdsNkqbu8g,小高姐的 Magic Ingredients,"煎包  Pan Fried Buns, 软面包子包法",2021-07-19,1193133,28561,,1428
-P_FI0g5pdw,小高姐的 Magic Ingredients,咖喱角 Samosa,2021-07-11,276436,7893,,655
wpj2sppTEzk,小高姐的 Magic Ingredients,舒芙蕾 Soufflé,2021-06-30,1954610,47486,,1463
YVDFbWR_h5A,小高姐的 Magic Ingredients,鸡蛋灌饼,2021-06-21,1003693,31039,,1413
kko5x0P0Cbg,小高姐的 Magic Ingredients,薄皮馅饼 Stuffed Flatbread,2021-06-14,627424,17556,,836
Cb5NAXDZ5gc,小高姐的 Magic Ingredients,蜜枣紫米粽 Rice Dumplings,2021-06-05,218430,7206,,651
_UbDhNDraVQ,小高姐的 Magic Ingredients,超软蜂蜜面包 Soft Dinner Rolls,2021-05-30,624899,15290,,960
Exw7vHVWLbo,小高姐的 Magic Ingredients,丹麦吐司 Croissant Loaf,2021-05-16,612556,15202,,890
etSdP9CFmko,小高姐的 Magic Ingredients,红烧牛仔骨 Braised Beef Ribs,2021-05-04,360765,9386,,605
8Fg83QQi-0o,小高姐的 Magic Ingredients,酸菜炒米 Fried Rice  如何处理米饭  How to Prepare Rice,2021-04-26,244779,7650,,573
T9ujysGFgYw,小高姐的 Magic Ingredients,蒜蓉西兰花  Garlic Broccoli,2021-04-18,460494,12699,,689
5Q4HACvSNQI,小高姐的 Magic Ingredients,粉蒸牛肉,2021-04-11,572626,14605,,764
x3X24u6XCvE,小高姐的 Magic Ingredients,薄煎饼 Thin Crepes  煎饼应该用豆粉，玉米粉，还是面粉？,2021-03-25,259014,8091,,627
