video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,caption
76K8D_cwcvU,小高姐的 Magic Ingredients,素五鲜水饺,"包饺子的时候，有一缕久违的阳光照进了镜头里，给冬日里阴霾天气的带来了一丝温暖。愿我们都像是一抹阳光照进彼此的生活里。互相温暖。互相关爱。祝大家春节愉快！ 

素五鲜水饺食谱：
（可以做70个饺子）

面团：
中筋面粉：400克
盐：1 克
水：190 克

素五鲜馅料：
韭菜：180克
鸡蛋：3个
油豆腐：80克
花菇：80克
泡发木耳：50克
香油：2大勺
虾粉：20克
蚝油：1 大勺
生姜泥：1 小勺
五香粉：1/8小勺
盐：1/2 小勺

Vegetable Dumpling recipe:
For making 70 dumplings
Dough:
All purpose flour: 400 g
Salt: 1 g
Water: 190 g

Vegetable fillings: 
Chinese chives: 180g
Eggs: 3
Fried tofu balls: 80g
Shiitake mushrooms: 80g
Rehydrated black fungus: 50g
Sesame oil: 2 tbsp
Dried baby shrimp powder: 20g
Oyster sauce: 1 tbsp
Ginger paste: 1 tsp
5-spice powder: 1/8 tsp
Salt: 1/2 tsp

背景音乐： Auld Lang Syne by DJ Williams

水饺, 饺子, 素水饺, 素饺子, 素五鲜水饺, 素五鲜饺子, dumplings, vegetarian dumplings,",2023-01-21T02:05:57Z,86373,4644,,405,PT4M12S,true
FWG_1oZTcS0,小高姐的 Magic Ingredients,蒜蓉虾仁 Garlic Shrimp,"过节了，给大家上一道红彤彤的蒜蓉虾仁。如果是宴客的一道菜，选用大个头的老虎虾会比较好看。不宴客的话，用个头小的其他虾仁都可以。做法是一样的。不管是大虾仁还小虾仁你要注意一点，就是不要把虾仁加热过渡。如果加热过渡，不仅仅是它的肉质变得紧实，口感变老，而且它的个头也会大大缩水。

蒜蓉虾仁配方：
老虎虾：600克
盐：1/2 小勺
黑胡椒：1/4 小勺
鸡精：1/4 小勺
橄榄油：1/4 杯
无盐黄油：2 大勺
蒜：8 瓣 
洋葱：1/4 个
欧芹：适量

Garlic Shrimp recipe:
Tiger shrimp: 600 g
salt: 1/2 tsp
Black pepper: 1/4 tsp
Chicken seasoning: 1/4 tsp
Olive oil: 1/4 cup
Unsalted butter: 2 tbsp
Garlic: 8 cloves
Onion: 1/4
Parsley: as needed

背景音乐：Vespers on the Shore by Mini Vandals

蒜蓉虾仁, 蒜香虾仁, 蒜蓉虾, 蒜香虾, garlic shrimp, garlic butter shrimp, garlic shrimps,",2023-01-13T22:10:18Z,130365,5261,,370,PT2M51S,true
JpIymnVO5eY,小高姐的 Magic Ingredients,搓麻食,"一碗热热呼呼，有汤有肉有菜的麻食，承载了多少儿时的回忆。在哨子制作和配菜的选用方面尽量给大家还原传统的做法。唯独对面团的配方进行了改善。和面的时候，给里面加一点土豆淀粉。这样做面团揉好饧到之后，自带橡皮泥的性质。搓麻食的时候，很容易成型，而且煮熟之后依然可以保持清晰漂亮的花纹。

麻食食谱：
面团：
土豆淀粉：20克
盐：2克
水：120克
中筋面粉：200克

哨子：
鸡腿肉：1 块
土豆：1
西红柿：2
黄花菜：1 小把
泡发木耳：1/2 杯
花菇：3个
葱：1 根
蒜苗：1 根
花椒粉：1/4 小勺
盐：1/2 小勺
八角：1个
生抽：1 小勺
白胡椒粉：1/2 小勺
香油：1 小勺

Mashi (shell shaped noodles) recipe

dough: 
Potato starch: 20 g
Salt: 2 g
Water: 120g
All purpose flour: 200g

Vegetable soup:
Chicken leg: 1 piece
Potato: 1
Tomatoes: 2
Lily buds: 1 handful
Black fungus: 1/2 cup
shitakki mushroom: 3
Green onion: 1
Garlic sprout: 1
Sichuan pepper powder: 1/4 tsp
Salt：1/2 tsp
Star anise: 1
Soy sauce: 1 tsp
White pepper powder: 1/2 tsp
Sesame oil: 1 tsp

背景音乐： In Memory of Jean Talon by The mini Vandals

麻食, 搓麻食, 烩麻食, 麻食做法, 麻食子",2022-12-21T23:55:40Z,107494,4910,,486,PT5M7S,true
1q_I5IHdrdE,小高姐的 Magic Ingredients,灌蛋油条 油条简单做法,"这是一个简单非常容易上手的油条配方，即便是你不灌鸡蛋，油条本身也非常好吃。你不需要购买油条膨松剂之类的东西，几样家常的材料，掌握比例就好。也不需要长时间揉面饧面，跟着面筋的节奏走，轻松容易做出好吃的油条。

油条配方：
中筋面粉：300克，（尽量不要用面筋特别紧的面粉）
盐：5克， 不满一小勺
苏打粉：3克，1/2 小勺
泡打粉：12克，1 大勺
室温水：225克

蛋液：鸡蛋，葱花，盐
炸油条温度：180°C / 356°F

Dough fritter recipe: 
All purpose flour: 300 g, try not to use the flour with strong gluten. 
Salt: 5 g, less than a tsp
Baking soda: 3 g, 1/2 tsp
Baking powder: 12 g, 1 tbsp
Room temperature water: 225 g

Egg mixture: 
Egg, green onion, salt
Frying temperature: ：180°C / 356°F

背景音乐：Adjacent by Rikard From

油条, 油条做法, 油条简单做法, 灌蛋油条, dough fritters, fried dough fritters, dough fritter recipe,",2022-11-03T23:05:26Z,170740,6628,,362,PT4M33S,true
8P5TlolEPL0,小高姐的 Magic Ingredients,麻酱烧饼,"很多时候做面食的第一步是选面粉。面粉选对了。食谱就成功了一半。例如这个麻酱烧饼的食谱，中间有一个步骤：拉伸卷起，再拉伸再卷起。所以这个面粉的面筋不能太紧。你可以选用饺子粉，pizza粉，或者有机的中筋面粉来揉面团。这样的话，操作的过程就会容易，包括接下来的一系列步骤都会很轻松完成。

麻酱烧饼食谱：

面团：
中筋面粉（用面筋不是特别紧的面粉，饺子粉或者pizza粉）：300克
水：180克
酵母：1/2 小勺
泡打粉：1/2 小勺

麻酱；
芝麻酱：1大勺
花生酱：4大勺
五香粉：1/4 小勺
盐：1/2 小勺

粘芝麻：
芝麻（生熟都可以）适量
蜂蜜：1 大勺
水：1 大勺

铁锅烙熟，或者铁锅烙定型并且轻微上色之后放到预热好的烤箱450°F / 230°C烤6-8分钟。

Sesame Biscuit recipe:
Dough:
Flour (dumpling flour or pizza flour) 300 g
Wate: 180 g
Yeast: 1/2 tsp
Baking powder: 1/2 tsp

Sesame paste mixture:
Sesame paste: 1 tbsp
Peanut butter: 4 tbsp
Five-spice: 1/4 tsp
Salt: 1/2 tsp

sesame( roasted or uncooked both are ok): as needed
Honey: 1 tbsp
Water: 1 tbsp
After cooked lightly on the pan, transfer them into the preheated oven 450°F / 230°C, bake for 6-8 minutes

背景音乐：Winter Serenity by Howard Harper

烧饼, 麻酱烧饼, 芝麻烧饼, sesame biscuits, sesame biscuit recipe",2022-10-20T18:16:03Z,169842,7432,,383,PT4M52S,true
C_ieBg4xZOk,小高姐的 Magic Ingredients,全麦吐司 (50% 全麦）,"全麦吐司 （全麦面包） 怎样做才好吃呢？除了揉面，整形，发酵和烘焙之外呢，还有三个点要注意：
1，选对面粉。因为面筋的含量直接影响面包的蓬松度。
2，开水烫面，或者用汤种。增加了面包的柔软度。
3，隔夜浸泡全麦面粉。让麸皮完全吸收水分。烘焙的时候，保证了吐司的高度。而且吃的时候，麸皮的口感不会特别硬。


全麦吐司配方： 
全麦面包粉：250克
开水：1/3杯 （80克）
室温水：240克
酵母：2 小勺
糖：40克
盐：1/2 小勺
高筋面粉：250克
无盐黄油：40克

350°F/175°C预热好的烤箱，烤30-35分钟

Whole wheat loaf recipe:
Whole wheat bread flour: 250g
Boiling water: 1/3 cup (80g)
Room temperature water: 240g
Yeast: 2 tsp
Sugar: 40g
Salt: 1/2 tsp
Bread flour: 250g
Unsalted butter: 40g
Preheated oven 350°F/175°C, bake for 30-35 minutes

背景音乐：Demure by Ever So Blue
全麦吐司, 全麦面包, 全麦吐司配方, 全麦面包配方, whole wheat bread, whole wheat loaf,",2022-10-11T22:29:48Z,100611,4186,,279,PT4M35S,true
v77h09t7X-0,小高姐的 Magic Ingredients,卤汁凉粉,"卤汁凉粉最有特色的地方，就是吃的时候不能搅拌。调料里蒜水，芥末水，辣椒油这三样搭配起来，你就知道卤汁凉粉是重口味。而且所有调料都是一样一样分开加到碗中的，更加强了它的刺激感。嗦一口爽滑凉粉，咬一口柔软的馍馍，突然间感受到蒜水的火辣，然后是芥末和辣椒的刺激。每一个味觉的刺激就好像音符一样在你的舌头上跳舞，组成了一曲别有风味的交响乐。


卤汁凉粉食谱：
凉粉：
绿豆淀粉：200克
第一次加水：370克
第二次锅里加水：1500克
碱面：1/8 小勺

坨坨馍：
酵母：1 小勺
碱面：1/8 小勺
水：300克
油：25克
面粉：600克

卤汁凉粉调料：
芥末：1大勺
水：1/3杯，分三次加入
蒜头：5瓣
水：1/3 杯，分三次加入
芝麻酱：2大勺
水：1/2 杯分三次加入
卤汁：
草果，丁香，白芷，陈皮，八角，香叶，花椒，桂皮，茴香 适量，没有可以不加
锅里加水：750克
鸡汤罐头：半罐200克
土豆淀粉：1/2 杯
土豆淀粉里加水：1 杯
鸡蛋：半个
白胡椒粉：1/4 小勺
盐：1 小勺
香醋，香油适量

背景音乐：Morning in Heideberg by Franz

卤汁凉粉, 凉粉, 凉粉做法, 坨坨馍, 白吉馍, 西安小吃, 西安特色",2022-09-24T19:45:16Z,168343,7452,,642,PT6M48S,true
m9d-1QqbCOU,小高姐的 Magic Ingredients,小炒茄子,"不管是炒茄子，烧茄子还是凉拌茄子，能做出漂亮的紫色，茄子的菜才算圆满。要保留茄子的紫色，有两个要点：1 高温，2 酸性环境。所以很多时候高温油炸出来的茄子颜色很好看。如果不油炸的话，醋可以让茄子保留紫色。你知道这个原理之后，我们再回来看这道菜中，处理茄子的3个步骤。1 大火蒸茄子。这个是为了让它在尽量高温度下蒸熟。2 泡醋水。在酸性环境下让茄子的紫色加深。3 最后炒茄子的时候，尽量快炒出锅。避免偏低的温度让茄子颜色变黄。

小炒茄子食谱：
茄子：3根
醋水：750ml水 + 3 大勺白醋
配菜：
姜末：1小勺
蒜末：1小勺
豆豉：1小勺
葱：2根 切段
青椒：1根 切丝
肉碎：50克

酱汁：
蚝油：1大勺
生抽：1小勺
盐：1 小撮
玉米淀粉：1/2 小勺
水：1/4 杯
油：2大勺

Eggplant Stir Fry Ingredients:
Eggplants: 3
Water: 750 ml
Vinegar: 3 tbsp
Ginger: 1 tsp
Garlic: 1 tsp
Black fermented soybean: 1 tsb
Green onions: 2
Green chili: 1
Ground chicken: 50g
Oyster sauce: 1 tbsp
Soy sauce: 1 tsp
Salt: 1 pinch
Corn starch: 1/2 tsp
Water: 1/4 cup
Oil: 2 tbsp


背景音乐：Some People Say by Autumn Cheek

炒茄子, 烧茄子, 肉末茄子, 茄子做法, 茄子食谱, eggplant recipe, eggplant stir fry, eggplant chinese recipe,",2022-06-14T20:53:19Z,443468,14788,,724,PT2M38S,true
XTH2UckRDTQ,小高姐的 Magic Ingredients,蜜豆尖角粽,"又到端午节，每年这个时候都会给大家介绍简单容易，而且美味的粽子做法。今年也不例外。蜜豆尖角粽子需要的材料就三样，蜜豆的制作方法很友好，一片粽叶的包法也不算太难。加上它的个头很小，吃起来完全没有压力。很适合家庭制作的一款小粽子。

蜜豆尖角粽配方：
可以做大概40个小粽子
糯米：1公斤
赤小豆，或者红豆： 300克，实际包粽子只需要大概150克左右
黑糖：300克
粽叶：40-50 片
棉线适量

Sweet Bean Zongzi recipe:
Glutinous rice: 1 kg
Ricebeans or Adezuki beans: 300 g, (only half is needed for Zongzi)
Dark brown sugar: 300g
Zongzi leaves, 40-50
Cotton thread

背景音乐：Atoms Away, Equals, Never Too Much by Autumn Cheek

粽子, 煮粽子, 粽子做法, 粽子包法, 豆沙粽, zongzi, zongzi wrapping, sticky rice dumplings",2022-06-02T22:01:08Z,188594,6724,,436,PT6M29S,true
rfPpPtUiBqQ,小高姐的 Magic Ingredients,家常葱油饼,"不变的食材，万变的食谱。我们今天来看看葱油饼的第N个做法。跟以往一样，只要有葱和面粉就行。简单的材料，家常的手法，好吃的味道。

家常葱油饼食谱：
面团：
酵母：1/4 小勺
水：250克
油：15克
面粉：350克

油酥：
面粉：40克，1/4 杯
盐：8克：1小勺
油：50克
葱：1把

Scallion Pancake recipe:
Dough: 
yeast: 1/4 tsp
water: 250g
oil: 15g
all purpose flour: 350g

Oil mixture: 
flour: 40g, 1/4 cup
salt: 8g, 1 tsp
oil: 50g

Scallions: 1 bunch

背景音乐：Love for the Moon, by Autume Cheek

葱油饼, 葱油饼简单做法, 家常葱油饼, 早餐葱油饼, green onion pancake, scallion pancake, cong you bing,",2022-05-30T23:50:39Z,410097,14089,,594,PT4M4S,true
